107,IPIM INDEC Preparación de fibras de uso textil,Indice de Produccion Industrial Manufacturero de Preparación de fibras de uso textil. FUENTE: INDEC
108,IPIM INDEC Hilados de algodón,Indice de Produccion Industrial Manufacturero de Hilados de algodón. FUENTE: INDEC
109,IPIM INDEC Tejidos y acabado de productos textiles,Indice de Produccion Industrial Manufacturero de Tejidos y acabado de productos textiles. FUENTE: INDEC
110,IPIM INDEC Otros productos textiles,Indice de Produccion Industrial Manufacturero de Otros productos textiles. FUENTE: INDEC
111,IPIM INDEC Prendas de vestir, cuero y calzado,Indice de Produccion Industrial Manufacturero de Prendas de vestir, cuero y calzado. FUENTE: INDEC
112,IPIM INDEC Prendas de vestir,Indice de Produccion Industrial Manufacturero de Prendas de vestir. FUENTE: INDEC
113,IPIM INDEC Curtido y artículos de cuero, excepto prendas,Indice de Produccion Industrial Manufacturero de Curtido y artículos de cuero, excepto prendas. FUENTE: INDEC
114,IPIM INDEC Calzado y sus partes ,Indice de Produccion Industrial Manufacturero de Calzado y sus partes . FUENTE: INDEC
115,IPIM INDEC Madera, papel, edición e impresión,Indice de Produccion Industrial Manufacturero de Madera, papel, edición e impresión. FUENTE: INDEC
116,IPIM INDEC Madera y productos de madera y corcho, excepto muebles,Indice de Produccion Industrial Manufacturero de Madera y productos de madera y corcho, excepto muebles. FUENTE: INDEC
117,IPIM INDEC Papel y productos de papel,Indice de Produccion Industrial Manufacturero de Papel y productos de papel. FUENTE: INDEC
118,IPIM INDEC Edición e impresión,Indice de Produccion Industrial Manufacturero de Edición e impresión. FUENTE: INDEC
119,IPIM INDEC Refinación del petróleo, coque y combustible nuclear,Indice de Produccion Industrial Manufacturero de Refinación del petróleo, coque y combustible nuclear. FUENTE: INDEC
120,IPIM INDEC Naftas,Indice de Produccion Industrial Manufacturero de Naftas. FUENTE: INDEC
121,IPIM INDEC Gasoil,Indice de Produccion Industrial Manufacturero de Gasoil. FUENTE: INDEC
122,IPIM INDEC Fueloil,Indice de Produccion Industrial Manufacturero de Fueloil. FUENTE: INDEC
123,IPIM INDEC Asfaltos ,Indice de Produccion Industrial Manufacturero de Asfaltos . FUENTE: INDEC
124,IPIM INDEC Otros productos de la refinación del petróleo, coque y combustible nuclear,Indice de Produccion Industrial Manufacturero de Otros productos de la refinación del petróleo, coque y combustible nuclear. FUENTE: INDEC
125,IPIM INDEC Sustancias y productos químicos,Indice de Produccion Industrial Manufacturero de Sustancias y productos químicos. FUENTE: INDEC
126,IPIM INDEC Gases industriales,Indice de Produccion Industrial Manufacturero de Gases industriales. FUENTE: INDEC
127,IPIM INDEC Productos químicos básicos,Indice de Produccion Industrial Manufacturero de Productos químicos básicos. FUENTE: INDEC
128,IPIM INDEC Agroquímicos,Indice de Produccion Industrial Manufacturero de Agroquímicos. FUENTE: INDEC
